Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Croatia,100.0,100.0,,,31.5125,4.34,0.0,8.431999999999999,65.8688288,22826.9536,3.205,16809.999945,23.9024674,1.0457436884,14166.103826,56594.0,45.1,15.2
Cuba,99.502206,93.5,76.358,38712500.0,21.7125,16.972,0.0,2.336,12.137129400000001,9318.225999999999,1.4075,26507.499695,,-1.3083769384,8805.9871688,110860.0,21.521757,-77.781167
Cyprus,100.0,100.0,,,11.3875,4.498,0.0,0.492,9.8695688,25878.9022,2.8075,7242.4999475,4.2215238,3.6108271682,27456.565775999996,9251.0,35.126413,33.429859
Czechia,100.0,100.0,,,14.95,45.8,28.53,9.784,45.573538400000004,44898.9136,4.3125,100187.501905,6.05062262,,,78871.0,49.817492,15.472962
Denmark,100.0,100.0,,,34.89,8.544,0.0,21.492,71.7192768,33176.996,2.145,32820.0006475,31.047419400000003,1.6219539779999999,58941.01539,43094.0,56.26392,9.501785
Djibouti,60.48372880000001,9.24,0.378,15087500.0,26.2,0.06,0.0,0.0,0.0,3025.98092,2.0775,414.999991675,,5.7467820276,3139.7572932,23200.0,11.825138,42.590275
Dominica,99.9967072,89.17999999999999,101.082,7950000.0,9.2675,0.06999999999999999,0.0,0.03,30.8838386,11213.3846,3.0125,172.50000315,,-2.2124295518,7712.6176754,751.0,15.414999,-61.370976
Dominican Republic,99.36,90.46000000000001,100.78200000000001,51787500.0,15.5275,16.028,0.0,2.616,14.1121824,10101.8444,2.11,25169.9996,,3.3280722343999996,7698.2390004,48670.0,18.735693,-70.162651
Ecuador,98.908,94.41,294.89,58090000.0,16.465,7.936,0.0,21.580000000000002,72.7409166,11538.6062,3.175,39447.50023,29.431122000000006,-1.06134476,6078.489003799999,283561.0,-1.831239,-78.183406
Egypt,100.0,99.88000000000001,48.922000000000004,711980000.0,5.234999999999999,176.002,0.0,17.983999999999998,9.2808323,10021.9843,3.5775,,4.7582771600000004,,,1001450.0,26.820553,30.802498000000003
El Salvador,97.43199999999999,89.41,199.888,80780000.0,22.075,1.6800000000000002,0.0,4.138,71.13606999999999,6607.5027,3.3175,7040.000081,,0.20523059040000008,3947.0484647999997,21041.0,13.794185000000002,-88.89653
Equatorial Guinea,66.4559268,24.14,96.89,,4.745,0.922,0.0,0.458,33.1788942,17755.755400000002,3.87,6059.99994275,,-6.318552909999999,8897.392625,28051.0,1.650801,10.267895
Eritrea,49.7064516,9.16,4.742,30000.0,75.095,0.4,0.0,0.008,1.88365708,837.5071,,777.50001845,,,,117600.0,15.179384000000002,39.782334
Estonia,100.0,100.0,,,28.6625,8.168000000000001,0.0,2.1100000000000003,24.0511085,52751.271400000005,5.3325000000000005,14549.9997125,8.963243,2.8453405236,21629.330962,45228.0,58.595272,25.013607
Eswatini,73.489144,52.279999999999994,148.736,,66.7925,0.04,0.0,0.646,94.1028908,5608.07878,4.7225,899.9999910500001,,1.2446618900000002,3757.1539605999997,17364.0,-26.522503,31.465866
Ethiopia,46.2596346,6.2700000000000005,37.61,126467500.0,89.7625,0.01,0.0,13.559999999999999,99.9261156,841.578296,8.0825,16597.500085,,8.0469047178,809.85481956,1104300.0,9.145,40.489673
Fiji,98.330026,46.9,235.17200000000003,1490000.0,27.1275,0.394,0.0,0.6719999999999999,63.0116446,8929.32886,2.1075,1607.49998675,,-0.9091998218,5860.6465794000005,18274.0,-17.713371,178.065032
Finland,100.0,100.0,,,44.2025,13.108,23.125999999999998,32.368,80.893377,59317.094999999994,5.3625,43502.5005325,29.2637718,1.1132866315999999,47483.982022,338145.0,61.92411,25.748151
France,100.0,100.0,,,14.775,54.489999999999995,393.46799999999996,108.748,90.2092804,41882.3462,3.43,309829.9942,12.1437314,-0.15206675080000007,39380.82447,643801.0,46.227638,2.213749
